Longitude,Latitude,ADMIN,ISO_A3
-69.9742007502873,12.5169352690763,Aruba,ABW
66.0084474495393,33.8362669104371,Afghanistan,AFG
17.5369849737759,-12.2923156432722,Angola,AGO
-63.0585712468021,18.2256925109214,Anguilla,AIA
20.0538191928981,41.1424819820619,Albania,ALB
20.0555828217815,60.18644725136,Aland,ALA
1.56075624107324,42.5413265250262,Andorra,AND
54.3007955317988,23.9057831722937,United Arab Emirates,ARE
-65.1781905527938,-35.3875510414116,Argentina,ARG
44.9323012181285,40.2881341539115,Armenia,ARM
-170.398926569506,-14.2549441504812,American Samoa,ASM
19.9083992135256,-80.5082193688028,Antarctica,ATA
123.586367786443,-12.4325771768483,Ashmore and Cartier Islands,"-99"
68.9921340447809,-49.0651514707276,French Southern and Antarctic Lands,ATF
-61.7917324621634,17.284380234712,Antigua and Barbuda,ATG
134.4911187878,-25.7323105390557,Australia,AUS
14.1306728678248,47.5856569228718,Austria,AUT
47.5421112596418,40.2891189866246,Azerbaijan,AZE
29.8750826944229,-3.35742533641362,Burundi,BDI
4.63996050326002,50.6374616364522,Belgium,BEL
2.32874074547657,9.64121676950884,Benin,BEN
-1.75552766421347,12.2695539086025,Burkina Faso,BFA
90.2419998721365,23.8456776713402,Bangladesh,BGD
25.2175126245109,42.7685225822297,Bulgaria,BGR
50.5466193690484,26.0527843896544,Bahrain,BHR
-76.5512522125187,24.2228092815688,The Bahamas,BHS
17.7734080262616,44.1717340836594,Bosnia and Herzegovina,BIH
-79.9878658593175,15.7950099633774,Bajo Nuevo Bank (Petrel Is.),"-99"
-62.8326196248882,17.9055845218493,Saint Barthelemy,BLM
28.0335664597595,53.5318804820563,Belarus,BLR
-88.693888531204,17.2083186922233,Belize,BLZ
-64.7634913825914,32.3101365781169,Bermuda,BMU
-64.6847535616085,-16.7068768592616,Bolivia,BOL
-53.0924823623872,-10.7808588289052,Brazil,BRA
-59.561217748118,13.1810538267802,Barbados,BRB
114.727245754983,4.51650031537507,Brunei,BRN
90.4044602011577,27.4217565623549,Bhutan,BTN
23.798986732814,-22.1857723210293,Botswana,BWA
20.4648091971221,6.56632186015915,Central African Republic,CAF
-98.2939042718781,61.376462801348,Canada,CAN
8.21535369786225,46.7989568804314,Switzerland,CHE
-71.3643742494708,-37.7436061218903,Chile,CHL
103.831571744511,36.5601151532281,China,CHN
-5.56900017820121,7.62796652229843,Ivory Coast,CIV
-109.221264242508,10.2973893836817,Clipperton Island,"-99"
12.7369841650656,5.69305820578532,Cameroon,CMR
33.257468550729,35.1019968388067,Cyprus No Mans Area,"-99"
23.6451136996279,-2.87979986177553,Democratic Republic of the Congo,COD
15.2183361559118,-0.838879989081955,Republic of Congo,COG
-158.791104318526,-19.8149809330972,Cook Islands,COK
-73.0838420419767,3.90941307586183,Colombia,COL
43.6801631865498,-11.8842162114899,Comoros,COM
-23.9672397663363,15.9361402422301,Cape Verde,CPV
-84.1935975218042,9.97330951079074,Costa Rica,CRI
154.390364345667,-21.0292836786666,Coral Sea Islands,"-99"
-79.0352117428572,21.625298045112,Cuba,CUB
-68.9713056070095,12.1938210891636,Curaçao,CUW
-80.8770258906655,19.426331163818,Cayman Islands,CYM
33.5977943594227,35.2764210730268,Northern Cyprus,"-99"
32.9899916983832,34.9152170465632,Cyprus,CYP
15.3141031020207,49.7324482052255,Czech Republic,CZE
10.3814938873536,51.1063634685225,Germany,DEU
42.5664536523125,11.7501558755058,Djibouti,DJI
-61.356917592057,15.4364404853577,Dominica,DMA
10.0513897875585,55.9653775215917,Denmark,DNK
-70.4965865384567,18.8963658700188,Dominican Republic,DOM
2.65309137679736,28.1488896573307,Algeria,DZA
-78.7722823120475,-1.4262413342326,Ecuador,ECU
29.8612087096256,26.492919604939,Egypt,EGY
38.8529444052499,15.3575137175726,Eritrea,ERI
33.792997458695,35.0177964093127,Dhekelia Sovereign Base Area,"-99"
-3.65263701339603,40.2272337134656,Spain,ESP
25.5357931696976,58.6710141257594,Estonia,EST
39.6005510814167,8.62295173540694,Ethiopia,ETH
26.2707950755949,64.4953589275114,Finland,FIN
163.407862101287,-17.4475619590471,Fiji,FJI
-59.3761028061082,-51.7333072759721,Falkland Islands,FLK
-2.75522114869557,42.1801070051845,France,FRA
-6.87055477616705,62.0740272544584,Faroe Islands,FRO
155.260633533687,6.96728107892264,Federated States of Micronesia,FSM
11.7895692568334,-0.591655916852161,Gabon,GAB
-2.88695148310369,54.1470481891976,United Kingdom,GBR
43.5075263304431,42.1688007770932,Georgia,GEO
-2.53048002329108,49.4843729228668,Guernsey,GGY
-1.21652379953204,7.95395476620976,Ghana,GHA
-5.34670032377791,36.1294636704466,Gibraltar,GIB
-10.94306120462,10.4346490173809,Guinea,GIN
-15.3975820320424,13.4497295592896,Gambia,GMB
-14.9775137765506,12.0269219072017,Guinea Bissau,GNB
10.3328854605327,1.70696104011408,Equatorial Guinea,GNQ
22.9748189963382,39.0511811667274,Greece,GRC
-61.6566823832652,12.1533724043126,Grenada,GRD
-41.3457393667502,74.7359906215603,Greenland,GRL
-90.3601524942039,15.69598455954,Guatemala,GTM
